CUSTID,GENDER,AGE,TV_REG,NGROUP,LCDATE,BILL,REGION,CLASS,ORGYN,AFFL,LTIME,OAC,S_MT,S_FVEG,S_TOIL,S_CONV
0000071986,F,62,Midlands,D,09/08/1993,1000,Midlands,Silver,1,8,5,7,18.31,22.94,36.55,12.41
0000072559,U,72,Midlands,E,04/06/1986,6340,Midlands,Gold,0,15,12,8,28.90,19.85,24.68,13.07
0000073148,F,39,Midlands,E,02/12/1994,2241,Midlands,Silver,1,8,4,7,34.13,14.63,28.27,11.12
0000075205,M,76,Wales & West,D,18/07/1979,12000,Midlands,Gold,0,6,19,6,36.29,17.44,35.18,10.90
0000075469,F,61,Border,B,07/07/1987,6000,Scottish,Gold,1,7,11,4,36.36,38.63,15.80,11.90
0000080322,,53,Midlands,D,20/12/1993,0,Midlands,Tin,0,6,5,8,25.77,38.30,5.06,10.45
0000080608,M,60,Yorkshire,C,12/11/1987,60,North,Silver,1,8,11,5,43.10,29.40,17.78,7.59
0000082678,F,42,London,F,14/02/1994,0,South East,Tin,1,15,5,3,25.25,31.64,17.92,11.68
0000083852,F,,London,A,27/10/1994,5000,South East,Silver,0,13,4,5,14.96,37.38,18.29,9.00
0000084573,F,57,Midlands,E,10/11/1987,50,Midlands,Silver,0,10,11,1,22.14,34.39,21.22,8.78
0000087750,M,45,Midlands,F,11/03/1994,0,Midlands,Tin,0,6,4,7,35.41,46.08,26.85,3.26
0000089796,F,75,East,B,25/06/1990,3053,Midlands,Silver,1,11,8,4,29.53,34.37,20.03,10.20
0000091588,F,37,Yorkshire,E,14/12/1993,0,North,Tin,1,8,5,8,28.07,31.71,26.54,13.85
0000093564,U,61,S West,E,02/01/1991,3000,South West,Silver,0,13,8,3,19.60,9.28,13.74,23.68
0000095036,F,61,,B,01/01/1990,1020,,Silver,0,12,9,2,22.55,23.12,7.86,12.46
0000095982,F,39,Yorkshire,A,01/06/1990,0,North,Tin,1,19,8,2,31.39,28.31,11.32,10.96
0000097802,M,55,Ulster,,10/11/1997,2000,Midlands,Silver,0,7,1,4,26.57,36.73,26.78,7.53
0000102385,M,57,C Scotland,B,02/11/1989,9000,Scottish,Gold,0,8,9,7,23.05,34.53,22.65,4.66
0000103225,F,18,S & S East,C,03/11/1997,6000,South East,Gold,0,13,1,2,33.32,30.66,29.51,11.25
0000108413,U,56,N West,A,08/01/1991,3000,North,Silver,0,5,8,4,12.84,12.14,18.98,5.82
0000109819,F,50,N East,D,11/05/1994,20000,North,Gold,0,9,4,4,15.39,20.11,15.39,9.86
0000113743,F,54,N West,F,02/04/1996,2000,North,Silver,0,,2,,33.04,30.15,24.12,14.48
0000117498,U,67,N East,B,02/01/1991,22000,North,Platinum,0,11,8,5,16.20,7.46,4.79,14.42
0000118397,F,78,Midlands,E,25/04/1974,2000,Midlands,Silver,0,7,24,3,37.51,25.15,10.53,14.79
0000121312,F,61,Midlands,C,29/09/1993,0,Midlands,Tin,0,5,5,6,16.45,27.21,4.17,10.08
0000121495,,45,London,B,30/04/1987,600,South East,Silver,0,5,11,7,23.98,18.72,16.69,11.34
0000124710,F,66,London,A,10/06/1993,2000,South East,Silver,0,11,5,5,10.31,26.72,26.50,9.78
0000126098,U,51,Yorkshire,C,25/08/1993,10000,North,Gold,0,2,5,2,18.51,35.05,24.10,16.40
0000126586,F,,Midlands,C,06/11/1997,15000,Midlands,Gold,0,3,1,7,31.89,32.99,17.15,14.84
0000127892,,60,N West,B,01/02/1990,1020,North,Silver,0,10,9,8,18.08,26.85,10.34,11.93
0000129283,M,48,East,C,03/04/1996,3000,Midlands,Silver,0,9,2,8,16.69,29.09,29.11,8.07
0000129410,F,53,S & S East,C,01/07/1997,100,South East,Silver,0,8,1,5,34.40,38.51,27.28,9.89
0000134872,U,72,Midlands,E,19/10/1990,12000,Midlands,Gold,1,10,8,6,23.28,4.55,12.23,25.74
0000140597,F,68,London,E,01/03/1991,0,South East,Tin,0,9,7,4,10.57,34.04,16.46,14.10
0000144649,F,47,N Scot,A,10/12/1993,0,Scottish,Tin,0,8,5,6,24.20,27.92,17.20,12.48
0000145157,F,39,London,E,13/08/1997,2800,South East,Silver,1,11,1,6,17.16,35.65,1.57,12.90
0000146730,F,72,London,A,01/06/1990,0,South East,Tin,0,12,8,5,19.42,15.25,16.91,11.01
0000148415,M,67,London,E,19/05/1994,6000,South East,Gold,0,10,4,5,25.39,38.61,23.83,7.93
0000148849,F,60,London,C,01/06/1990,0,South East,Tin,0,9,8,2,18.49,40.35,32.24,14.56
0000151432,M,,Yorkshire,D,28/12/1995,9000,North,Gold,0,6,3,7,28.26,28.13,26.83,4.92
0000154040,M,52,N West,F,01/01/1990,0,North,Tin,0,11,9,2,34.59,10.33,1.05,7.34
0000156515,F,55,Midlands,D,01/07/1990,0,Midlands,Tin,0,7,8,7,19.51,11.45,16.14,12.10
0000158216,M,65,S & S East,,01/04/1992,6053,South East,Gold,0,14,6,5,34.15,31.67,18.95,6.09
0000159522,M,41,London,B,01/06/1991,0,South East,Tin,1,13,7,7,35.13,47.11,30.99,4.87
0000162485,F,34,East,D,04/08/1995,3000,Midlands,Silver,1,16,3,1,29.91,25.85,16.00,12.33
0000165808,F,40,N West,D,05/08/1991,1500,North,Silver,1,6,7,6,26.36,40.38,17.89,13.33
0000168394,F,35,London,F,10/03/1994,0,South East,Tin,1,9,4,5,32.42,23.83,25.94,12.23
0000170127,M,50,Yorkshire,B,01/09/1988,5000,North,Silver,0,7,10,3,33.46,35.70,40.36,7.97
0000181498,,62,N West,A,18/09/1969,3000,North,Silver,0,6,29,6,18.09,18.97,17.51,12.14
0000191396,M,,Yorkshire,F,31/05/1988,0,North,Tin,0,7,10,7,34.83,25.94,40.62,2.15
0000192791,M,60,East,C,15/11/1993,8100,Midlands,Gold,0,9,5,8,17.57,45.98,11.11,7.77
0000197440,F,49,N West,B,03/06/1994,7600,North,Gold,0,8,4,8,28.14,28.38,8.87,12.21
0000202878,M,57,Midlands,F,08/01/1991,2000,Midlands,Silver,0,6,8,7,27.52,61.17,18.54,9.34
0000203289,U,52,Midlands,F,06/03/1992,23053,Midlands,Platinum,0,7,6,4,9.50,21.90,15.61,7.51
0000206032,M,75,C Scotland,F,27/02/1981,10000,Scottish,Gold,0,6,17,5,26.50,29.65,23.94,4.98
0000209732,,55,Midlands,E,12/02/1993,10000,Midlands,Gold,0,15,6,1,21.30,25.39,3.27,8.44
0000213241,F,57,,F,20/03/1997,12000,,Gold,0,5,1,7,16.36,24.78,15.00,10.88
0000215554,F,52,N West,C,10/11/1992,2500,North,Silver,1,8,6,3,33.13,21.10,10.99,9.93
0000217158,F,74,East,A,25/01/1994,6000,Midlands,Gold,0,12,5,7,26.39,27.10,5.26,13.73
0000223182,F,79,London,D,16/02/1994,5000,South East,Silver,0,9,5,8,33.88,32.78,17.87,14.09
0000234540,,48,Yorkshire,D,26/02/1994,420,North,Silver,0,6,4,8,16.25,33.41,2.87,14.03
0000239844,,60,London,E,01/05/1990,0,South East,Tin,0,11,8,2,25.33,37.24,13.80,11.50
0000243051,F,38,N West,F,17/03/1989,50,North,Silver,1,3,9,2,30.78,27.39,27.46,14.02
0000248258,F,58,N West,B,05/05/1993,5000,North,Silver,0,9,5,1,12.67,26.89,20.89,11.80
0000249335,M,52,Wales & West,D,18/07/1994,1800,Midlands,Silver,0,4,4,2,7.14,47.11,22.82,4.80
0000252646,F,45,Yorkshire,F,01/02/1990,100,North,Silver,0,3,9,7,22.47,41.83,17.49,13.00
0000253839,F,42,N West,F,11/08/1994,2000,North,Silver,0,9,4,5,33.01,20.56,19.83,11.55
0000256366,U,40,Midlands,F,16/05/1988,50,Midlands,Silver,0,10,10,3,38.56,9.35,24.58,4.35
0000259802,,55,Midlands,D,02/01/1991,10100,Midlands,Gold,0,5,8,7,25.02,30.18,16.31,12.89
0000262684,,77,Midlands,C,21/03/1995,6000,Midlands,Gold,0,8,3,1,34.59,14.46,17.30,9.45
0000263419,F,27,London,C,01/03/1991,0,South East,Tin,1,11,7,2,32.48,21.46,10.18,9.39
0000267236,F,60,N West,E,02/05/1990,0,North,Tin,0,4,8,4,27.34,39.65,10.31,10.43
0000270962,U,58,London,A,09/03/1993,2500,South East,Silver,0,7,5,5,23.81,27.87,13.48,11.63
0000271101,,54,Midlands,B,,0,Midlands,Tin,0,7,,5,25.78,19.88,25.31,13.05
0000274623,M,42,N West,D,07/11/1994,0,North,Tin,0,7,4,8,21.52,34.40,23.99,8.35
0000275700,F,36,,F,22/02/1990,1000,,Silver,1,10,9,6,21.93,22.21,21.65,6.98
0000276871,F,,London,E,21/11/1997,5500,South East,Gold,1,6,1,8,27.81,30.75,21.12,9.07
0000277010,F,57,London,D,13/12/1993,0,South East,Tin,0,4,5,7,15.60,31.62,30.04,13.15
0000278661,F,72,Midlands,C,21/06/1990,11105,Midlands,Gold,0,10,8,7,27.71,21.17,13.16,7.10
0000280895,F,,East,C,27/04/1992,0,Midlands,Tin,1,10,6,1,25.99,20.56,13.81,11.06
0000282057,F,37,N West,F,13/11/1993,0,North,Tin,0,7,5,4,16.51,32.61,18.12,10.46
0000285846,F,76,East,F,05/02/1991,2000,Midlands,Silver,1,9,8,3,25.88,18.19,20.07,12.14
0000287628,F,45,N West,D,04/10/1993,0,North,Tin,0,6,5,4,37.56,26.87,20.96,9.72
0000288748,F,,S & S East,C,01/06/1990,10000,South East,Gold,0,14,8,1,16.34,25.76,15.23,11.25
0000290890,M,51,London,F,01/12/1989,0,South East,Silver,0,,9,,26.19,46.26,25.19,10.01
0000293083,,61,S & S East,B,13/03/1996,500,South East,Silver,0,15,2,3,32.94,28.56,7.21,13.41
0000293555,F,61,N Scot,B,04/11/1997,4000,Scottish,Silver,0,12,1,8,31.34,28.14,0.83,14.31
0000295620,M,47,Ulster,,14/02/1994,0,Midlands,Tin,0,9,5,2,12.28,44.75,31.11,4.13
0000297194,U,52,East,F,01/04/1990,0,Midlands,Tin,0,8,8,6,23.36,12.93,31.73,21.63
0000300845,U,40,Midlands,E,03/07/1997,1000,Midlands,Silver,0,8,1,8,12.39,10.36,28.32,7.69
0000301175,F,56,Midlands,D,24/02/1990,0,Midlands,Tin,0,5,9,5,29.27,18.25,25.47,12.80
0000301981,F,51,N West,F,01/07/1990,9000,North,Gold,0,8,8,3,23.53,35.38,17.56,11.59
0000310786,F,50,London,C,26/03/1996,12000,South East,Gold,0,9,2,1,37.93,32.12,15.18,12.59
0000312169,,46,N West,E,26/11/1993,0,North,Tin,0,4,5,8,25.47,36.68,24.56,15.06
0000312762,F,41,S & S East,B,19/12/1991,1675,South East,Silver,1,8,7,1,32.64,25.28,29.66,10.98
0000315559,M,60,London,B,01/03/1990,100,South East,Silver,0,8,8,2,31.13,52.07,15.78,6.41
0000315788,F,70,S & S East,B,07/01/1991,2250,South East,Silver,0,10,8,4,29.32,39.23,15.15,14.74
0000316350,F,50,London,D,01/02/1990,0,South East,Tin,1,9,9,6,22.66,26.22,15.75,14.06
0000317640,F,37,Midlands,F,01/05/1990,0,Midlands,Tin,1,15,8,3,24.39,33.27,6.48,12.17
0000317950,F,74,London,C,25/08/1993,3000,South East,Silver,0,9,5,2,21.24,40.63,24.93,9.06
0000318922,,61,S West,E,22/12/1992,1200,South West,Silver,1,8,6,7,26.29,32.48,16.37,11.13
0000323039,,49,N West,A,12/09/1995,4000,North,Silver,0,8,3,2,20.74,29.09,22.42,15.81
0000324469,F,,S & S East,D,01/05/1990,0,South East,Tin,0,7,8,3,21.81,31.46,18.09,13.78
0000331341,M,53,C Scotland,B,06/12/1994,6000,Scottish,Gold,0,9,4,1,24.41,36.83,43.68,9.68
0000332658,F,,Midlands,D,05/02/1994,0,Midlands,Tin,0,4,5,7,19.18,33.79,7.00,11.66
0000335606,U,59,Border,E,12/08/1991,2500,Scottish,Silver,0,,7,,10.00,9.20,12.43,15.73
0000340146,,63,N West,B,21/02/1994,0,North,Tin,0,7,5,5,19.09,29.46,12.62,11.38
0000342033,F,51,N West,D,17/03/1988,3027,North,Silver,0,7,10,4,34.64,30.41,12.10,10.75
0000343102,F,62,N West,D,22/01/1992,56053,North,Platinum,0,5,7,3,20.18,39.18,15.82,10.93
0000345474,F,46,S & S East,C,06/07/1988,0,South East,Silver,0,3,10,1,13.65,23.42,13.48,12.69
0000345865,M,39,Yorkshire,E,29/10/1996,7500,North,Gold,1,10,2,1,23.61,9.63,30.84,7.37
0000346225,M,53,S & S East,E,02/04/1992,3000,South East,Silver,1,6,6,4,42.51,34.50,17.19,6.82
0000346403,,,Midlands,D,20/01/1994,0,Midlands,Tin,0,10,5,,19.05,30.00,7.04,13.38
0000347086,F,48,London,C,07/04/1994,5000,South East,Silver,0,7,4,5,23.22,27.45,3.19,9.95
0000347531,F,62,S & S East,B,01/11/1987,12809,South East,Gold,0,7,11,6,22.50,43.09,3.05,10.05
0000349291,M,26,London,B,10/07/1997,4000,South East,Silver,0,9,1,2,21.78,21.16,28.33,5.02
0000349739,F,,N East,E,16/11/1993,2500,North,Silver,0,7,5,6,30.06,29.02,26.52,12.12
0000351482,F,43,S West,E,20/03/1996,6000,South West,Gold,0,6,2,7,22.63,34.86,16.28,13.62
0000356425,F,78,Midlands,E,08/04/1993,6000,Midlands,Gold,0,7,5,3,38.08,16.74,23.00,10.98
0000356719,F,67,East,C,02/02/1996,12049,Midlands,Gold,0,3,3,5,27.30,29.08,17.07,13.86
0000357898,F,45,N West,D,21/01/1994,0,North,Tin,0,2,5,5,31.22,26.99,19.86,10.07
0000358649,,60,C Scotland,D,27/01/1994,0,Scottish,Tin,0,10,5,7,26.41,35.70,18.65,12.16
0000359955,F,68,London,E,20/11/1992,7500,South East,Gold,0,13,6,1,24.32,33.28,16.31,13.51
0000361283,U,74,S & S East,A,11/12/1995,20246,South East,Platinum,0,14,3,8,21.71,29.75,35.22,12.90
0000362468,M,53,Midlands,D,01/06/1990,0,Midlands,Tin,0,5,8,8,37.23,34.18,27.45,6.01
0000369225,M,51,C Scotland,C,19/06/1990,420,Scottish,Silver,0,5,8,2,23.88,41.69,27.99,6.34
0000369780,F,,S & S East,A,03/11/1997,25000,South East,Platinum,0,9,1,7,26.46,31.65,24.44,12.35
0000370398,F,51,S & S East,F,23/04/1997,200,South East,Silver,0,6,1,2,28.92,26.80,8.92,10.37
0000370622,U,51,S & S East,A,11/06/1996,200,South East,Silver,0,5,2,5,15.84,15.49,13.23,10.10
0000371475,M,36,London,C,21/04/1994,0,South East,Tin,0,11,4,5,28.03,42.14,26.99,5.19
0000374644,F,63,Wales & West,F,02/04/1996,6000,Midlands,Gold,0,8,2,5,34.22,41.04,15.67,10.11
0000375330,F,69,S & S East,C,22/02/1990,500,South East,Silver,0,8,9,7,36.32,25.51,15.68,11.96
0000376078,F,40,Midlands,D,23/12/1993,0,Midlands,Tin,1,11,5,7,26.48,22.66,17.26,16.05
0000380113,F,46,Wales & West,E,07/05/1987,2166,Midlands,Silver,0,4,11,8,24.72,20.26,32.35,12.43
0000393347,M,46,S & S East,D,14/03/1990,0,South East,Tin,0,,8,,17.48,22.87,4.37,6.08
0000396192,F,46,S & S East,A,03/06/1987,2245,South East,Silver,1,8,11,7,28.64,32.73,30.82,10.03
0000397407,F,38,N West,D,17/01/1994,0,North,Tin,1,9,5,4,28.67,31.28,21.88,12.47
0000397660,M,67,N West,F,18/05/1993,11000,North,Gold,0,4,5,1,25.86,31.12,8.55,8.40
0000400297,U,73,Yorkshire,F,09/01/1995,26000,North,Platinum,0,11,4,6,0.93,5.49,9.85,11.16
0000403768,F,53,Border,B,14/01/1991,9000,Scottish,Gold,0,5,8,6,27.69,27.71,17.04,10.04
0000407364,F,55,Midlands,E,26/05/1994,5000,Midlands,Silver,1,6,4,8,29.69,41.43,17.60,12.46
0000408964,F,54,London,A,07/01/1991,3000,South East,Silver,0,9,8,4,29.31,22.19,19.82,13.39
0000414832,M,45,London,F,26/01/1994,0,South East,Tin,0,6,5,7,8.19,32.29,19.86,1.82
0000418943,M,39,,C,18/07/1994,0,,Tin,1,10,4,7,29.45,40.05,8.55,7.41
0000421979,F,58,N West,E,18/07/1994,420,North,Silver,0,5,4,8,22.79,38.71,14.83,9.28
0000423211,F,33,N East,D,12/02/1994,0,North,Tin,1,8,5,6,32.66,40.36,25.18,15.94
0000434671,M,35,London,D,01/06/1990,0,South East,Tin,1,11,8,2,29.43,43.24,14.38,6.83
0000435961,M,71,Yorkshire,A,12/03/1986,6000,North,Gold,0,4,12,6,43.12,39.56,24.91,5.46
0000439088,M,55,Border,B,02/08/1994,0,Scottish,Tin,0,10,4,1,26.22,46.07,7.53,7.00
0000442542,M,57,S West,D,17/11/1987,480,South West,Silver,0,,11,,13.59,30.39,24.56,6.56
0000454702,M,53,London,B,09/06/1993,6871,South East,Gold,0,13,5,5,24.81,39.90,26.20,8.61
0000462705,F,58,London,E,30/04/1979,1500,South East,Silver,0,9,19,8,24.43,26.98,27.03,15.56
0000467812,M,43,Yorkshire,C,14/09/1993,0,North,Tin,0,13,5,2,33.18,38.74,28.19,9.75
0000473596,F,47,London,D,25/09/1993,0,South East,Tin,0,8,5,6,17.83,38.20,18.37,10.27
0000479403,M,74,S & S East,C,08/05/1996,6000,South East,Gold,0,4,2,2,38.50,25.68,8.50,7.35
0000481572,M,49,N East,E,01/11/1997,5000,North,Silver,0,10,1,8,23.61,48.96,33.43,5.84
0000486701,F,58,S & S East,D,12/02/1990,3000,South East,Silver,0,9,9,1,27.83,26.67,21.30,13.57
0000492566,F,56,Midlands,D,01/06/1990,0,Midlands,Tin,0,8,8,4,39.59,20.53,16.97,9.46
0000498300,F,47,S & S East,B,18/04/1997,6000,South East,Gold,0,5,1,2,21.32,30.58,31.11,8.24
0000500100,F,30,Midlands,F,30/05/1997,100,Midlands,Silver,1,14,1,3,43.54,19.66,20.95,11.69
0000502316,F,68,S & S East,D,14/11/1994,50000,South East,Platinum,1,3,4,5,21.94,31.27,14.42,12.24
0000503053,F,45,N West,D,25/02/1994,1000,North,Silver,0,8,4,6,28.63,22.49,20.85,6.34
0000518069,F,71,London,A,08/02/1993,12000,South East,Gold,0,7,6,6,34.02,39.32,17.37,10.25
0000523259,F,65,S & S East,D,08/01/1991,9053,South East,Gold,0,10,8,7,32.45,21.47,15.89,14.89
0000528102,F,74,London,C,30/09/1993,19000,South East,Gold,0,10,5,8,29.19,21.12,22.68,11.40
0000530042,F,43,N West,D,28/09/1993,0,North,Tin,1,10,5,8,24.55,41.22,13.67,8.44
0000532479,F,44,S West,E,12/02/1990,500,South West,Silver,0,11,9,6,15.15,22.98,21.68,11.34
0000543004,U,65,London,F,14/07/1993,3000,South East,Silver,0,9,5,2,32.08,15.65,4.35,13.46
0000543683,M,46,S & S East,D,14/05/1986,17410,South East,Gold,0,7,12,7,22.75,30.80,6.34,8.23
0000553115,F,29,Midlands,F,16/07/1986,2000,Midlands,Silver,0,8,12,2,22.66,34.89,19.19,14.38
0000580287,F,53,Wales & West,C,26/03/1993,0,Midlands,Tin,1,7,5,8,20.11,21.30,15.91,10.88
0000588784,M,64,Midlands,E,10/04/1986,1000,Midlands,Silver,0,9,12,4,24.98,36.11,31.48,7.10
0000595233,M,49,S & S East,D,18/01/1994,3000,South East,Silver,1,10,5,8,20.58,34.45,40.03,7.88
0000598453,F,59,London,F,17/01/1991,12000,South East,Gold,1,17,8,6,31.28,23.19,18.24,13.00
0000600504,F,37,N West,F,16/12/1993,0,North,Tin,0,8,5,1,25.16,40.99,22.16,8.47
0000601969,,60,London,B,04/03/1996,10000,South East,Gold,0,5,2,7,21.30,32.80,27.25,10.04
0000602906,,64,Yorkshire,F,29/09/1994,0,North,Tin,0,10,4,4,28.19,15.24,19.26,13.26
0000604011,F,,N West,C,15/11/1994,5000,North,Silver,0,3,4,8,15.42,42.47,7.45,11.09
0000606316,F,51,London,C,01/02/1991,3000,South East,Silver,1,15,8,6,22.63,39.75,9.16,15.32
0000607118,F,47,Midlands,,30/09/1993,0,Midlands,Tin,0,8,5,5,19.52,23.47,14.57,13.14
0000607444,F,51,Wales & West,B,17/10/1995,3000,Midlands,Silver,0,18,3,6,23.05,34.63,16.77,11.13
0000608378,F,58,C Scotland,D,21/10/1987,3050,Scottish,Silver,0,5,11,2,18.76,33.44,13.46,13.52
0000610283,M,46,London,A,01/02/1990,0,South East,Tin,0,9,9,5,16.13,22.20,27.57,4.39
0000611662,U,48,London,D,22/12/1993,0,South East,Tin,0,5,5,5,15.74,7.92,0.46,28.60
0000618284,F,,East,E,,0,Midlands,Silver,1,15,,3,19.50,37.83,9.53,12.24
0000621358,F,61,Midlands,C,22/04/1997,6000,Midlands,Gold,0,4,1,2,22.25,37.43,16.87,11.64
0000630888,F,38,Midlands,C,08/12/1993,0,Midlands,Tin,1,9,5,5,12.79,30.73,9.99,6.73
0000633380,M,68,S & S East,E,11/12/1992,15000,South East,Gold,0,7,6,3,20.86,32.65,17.27,8.15
0000633542,F,76,Wales & West,F,01/04/1996,6000,Midlands,Gold,0,12,2,5,35.16,20.87,31.03,9.60
0000641022,F,56,Yorkshire,D,01/05/1990,0,North,Tin,0,4,8,3,17.06,37.14,26.21,9.62
0000642568,M,73,N East,A,29/04/1997,360,North,Silver,1,8,1,3,21.72,14.18,15.52,10.27
0000649007,F,37,Midlands,D,01/02/1990,0,Midlands,Tin,1,8,9,4,30.29,46.17,21.37,12.30
0000653500,F,32,Midlands,C,07/07/1997,2500,Midlands,Silver,1,,1,,22.21,27.56,21.60,8.07
0000663603,F,74,London,A,15/03/1994,3350,South East,Silver,0,11,4,8,39.49,25.48,18.37,11.61
0000666238,M,65,Yorkshire,D,,6108,North,Gold,0,9,,1,25.04,43.85,38.62,5.92
0000667692,F,60,Midlands,E,26/03/1996,5000,Midlands,Silver,0,5,2,3,26.77,35.14,14.24,11.86
0000669067,F,35,C Scotland,D,14/03/1994,1500,Scottish,Silver,0,10,4,4,29.16,24.01,32.19,13.40
0000672785,F,46,N Scot,C,27/05/1997,6545,Scottish,Gold,0,6,1,4,21.13,24.90,12.56,13.12
0000674885,F,46,London,E,24/05/1993,6000,South East,Gold,0,3,5,8,42.17,33.45,21.08,13.58
